mocperkgCO2,mocomp,coins_allocated,coins_needed,market_delta,crowdfunding,coins_consummed,market_delta_wi_crowd,ratio_of_less_consumption,updated_mocomp,day_num,cardem,busdem,bikedem,flows_car,flows_bus,flows_bike,mocos_car,mocos_bus,mocos_bike,emissions_car,emissions_bus,total_tt,total_tt_c,total_tt_b,total_tt_r,total_dist_car,total_dist_bus,total_dist_rad
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,49017.124706921575,606022.8752930784,49017.12470692163,0.9251714300907496,9.057858313516164,11,246954.8048973872,518371.1214825526,235524.52669223314,537283.0255108468,1.2744381798728283e6,580069.0642053571,297779.1813049147,308243.69398816366,0.0,300635.6955016094,310575.54578271904,4.0209460497317135e7,2.7452229322461514e6,6.784015433183842e6,3.0680222131887138e7,2.0451407857252355e6,4.77808531973414e6,2.244939914986545e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,61077.84503575247,593962.1549642475,61077.845035752514,0.906759197930119,8.877594002792476,12,242040.0517467112,508054.7961792874,230837.25239480412,526590.3263202747,1.2490750408058465e6,568524.8617667872,291852.9505108544,302109.2044533931,0.0,294652.61599730037,304394.64906846895,3.940923483356346e7,2.6905890770305344e6,6.649003841737672e6,3.006964191479525e7,2.0044395646074866e6,4.682994601053369e6,2.2002624059790047e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,76105.73528393063,578934.2647160693,76105.73528393067,0.883817201383487,8.652981193328412,13,235916.17448801297,495200.4557920578,224996.8181765854,513267.0168071126,1.2174720801322008e6,554140.5627763806,284468.7525914632,294465.51212460606,0.0,287197.583488011,296693.13249859755,3.841213821571729e7,2.6225142392405816e6,6.480776793670336e6,2.9308847182806373e7,1.9537250577415726e6,4.564509730747656e6,2.144593367677675e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,94830.56414360547,560209.4358563945,94830.56414360553,0.855231355204113,8.373112472739688,14,228285.79179735685,479183.8812842649,217719.60697818766,496666.1043464509,1.1780946279216495e6,536217.6519476693,275268.0038487494,284941.4320076451,0.0,277908.574480464,287097.00307861634,3.71697506804481e7,2.5376926397867585e6,6.271165022982096e6,2.836089301767924e7,1.8905345202752664e6,4.416876970440253e6,2.0752294584555242e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,118161.46791347729,536878.5320865227,118161.46791347733,0.819613746552553,8.024399529236394,15,218778.42990811792,459227.42873857316,208652.29237386078,475981.5739822844,1.1290308124330277e6,513885.9280662733,263803.9853983958,273074.54668812687,0.0,266334.584838333,275140.3452240299,3.562175127028114e7,2.4320059822854125e6,6.009991364861694e6,2.717975392313403e7,1.811799896859409e6,4.232928388061999e6,1.988802890645909e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,147230.97187565686,507809.02812434314,147230.97187565686,0.7752354307345041,7.589915190660427,16,206932.58386481123,434362.37498539744,197354.73011837783,450209.36029918527,1.0678989851873158e6,486061.36789253296,249520.2125513535,258288.81557298967,0.0,251913.79166723328,260242.76061664912,3.3692997226667546e7,2.3003240406303187e6,5.684577966202357e6,2.5708095219834868e7,1.7136992630424043e6,4.0037347787176794e6,1.8811183585694649e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,183449.77981164498,471590.220188355,183449.77981164498,0.7199427879970245,7.048574518643748,17,192173.3907516432,403382.05253558944,183278.66476794844,418098.7725613329,991732.501140354,451393.6830862427,231723.5130954086,239866.70709294642,0.0,233946.3733436112,241681.28958821803,3.128988871981831e7,2.136256467972424e6,5.2791329540971e6,2.3874499297748785e7,1.5914719275075602e6,3.718173685972586e6,1.7469500772658763e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,228574.94586162898,426465.054138371,228574.94586162898,0.651053450466067,6.374115884954425,18,173784.84960549138,364783.53771697934,165741.23539172058,378092.05543817213,896836.3564042519,408201.0679063838,209550.529945038,216914.52419333303,0.0,211560.69083368647,218555.4742999223,2.8295845663532328e7,1.9318439850246098e6,4.773987298068806e6,2.159001438043891e7,1.4391883730182762e6,3.362391912306498e6,1.5797892479209222e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,284794.6666180947,370245.3333819053,284794.6666180947,0.5652268561705825,5.533833635227066,19,150875.26857014798,316695.1224341875,143892.02200100067,328249.2146925963,778608.8743819289,354389.03846225026,181926.05716922876,188319.27621267654,0.0,183671.22405018835,189743.90435836298,2.4565681781790935e7,1.6771742803695067e6,4.144645620039403e6,1.8743861881382022e7,1.2494641091849555e6,2.919136990128662e6,1.3715299556053455e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,354833.6977245002,300206.3022754998,354833.6977245002,0.4583033171217526,4.487002490658524,20,122334.30754830592,256786.14443625178,116672.07647775425,266154.55775658664,631320.0195179329,287349.530733941,147511.24183380327,152695.06044169655,0.0,148926.27680912905,153850.19275309553,1.9918610244794212e7,1.3599044838249108e6,3.360606126940544e6,1.5198099634028757e7,1.0131039238716267e6,2.366926042355316e6,1.112078665979167e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,5431.655029042213,649608.3449709578,5431.655029042158,0.9917102241809227,9.709304034404774,1,264715.9185442216,555652.6329871138,252463.56898758674,575924.690655116,1.3660964140909936e6,621787.9227497175,319195.6096388987,330412.73533205915,0.0,322257.565771831,332912.2950792817,4.310134509890442e7,2.9426607448280104e6,7.271925231661838e6,3.2886759122414578e7,2.1922283385838857e6,5.121727616604336e6,2.406397121607645e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,6768.24354852676,648271.7564514732,6768.243548526778,0.989669750854868,9.68932685214559,2,264171.25765679585,554509.3611436691,251944.11767433118,574739.708449181,1.3632856300274595e6,620508.5755776323,318538.85516427393,329732.90128719923,0.0,321594.51123125706,332227.3181157882,4.30126627975154e7,2.936606132693292e6,7.256963028890836e6,3.281909363593127e7,2.1877177634779406e6,5.111189509473666e6,2.401445887851241e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,8433.726894022606,646606.2731059773,8433.726894022664,0.9871271775109169,9.664433877338778,3,263492.5718655246,553084.7639794158,251296.84478636962,573263.1372382789,1.3597831953010214e6,618914.4189788337,317720.4928757896,328885.78023018775,0.0,320768.2986172904,331373.7886202733,4.290215840977711e7,2.929061659935365e6,7.238319071409709e6,3.273477767843204e7,2.1820972695053783e6,5.098058286465744e6,2.3952763021928766e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,10509.033727253247,644530.9662727468,10509.033727253205,0.9839589561960888,9.633415518100469,4,262646.88267622655,551309.6179009086,250490.29823579363,571423.2279218489,1.3554189206654462e6,616927.9901792462,316700.7571612639,327830.2091114829,0.0,319738.78085711383,330310.2321462945,4.276446233998727e7,2.919660727821579e6,7.215087417689675e6,3.262971419447602e7,2.1750937473273063e6,5.081695879173763e6,2.387588573996956e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,13095.004771835185,641944.9952281648,13095.00477183517,0.980011140648149,9.594764568970287,5,261593.09741362208,549097.6672218966,249485.2873176489,569130.5779190836,1.3499807427259302e6,614452.7671059135,315430.0982935414,326514.8969346234,0.0,318455.93290659884,328984.9696829577,4.259288383230464e7,2.9079465379730887e6,7.186139224161953e6,3.2498798070169598e7,2.1663668905210816e6,5.061307225891658e6,2.3780091507546003e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,16317.291272205559,638722.7087277945,16317.291272205533,0.9750919081715399,9.546602996600935,6,260280.01309541444,546341.4341900538,248232.97897450352,566273.7883314885,1.3432044227057085e6,611368.4797117001,313846.7754931502,324875.9332346443,0.0,316857.42172387196,327333.6072850667,4.237908595927053e7,2.893349902836493e6,7.150067910289386e6,3.2335668146144643e7,2.1554926647882457e6,5.0359016505394885e6,2.366072572323126e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,20332.458055623272,634707.5419443768,20332.458055623225,0.9689622425326464,9.48659072097232,7,258643.82942965784,542906.9986376778,246672.5259044812,562714.0531378591,1.3347607119879078e6,607525.2682857962,311873.85808967665,322833.6838547001,0.0,314865.5786636509,325275.90836641524,4.2112680685228854e7,2.8751615994241824e6,7.105120838922913e6,3.2132398246881757e7,2.1419427119976263e6,5.004244744098697e6,2.3511988628561962e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,25335.58718344221,629704.4128165578,25335.5871834422,0.9613243260136133,9.41181196820314,8,256605.05032080086,538627.494079941,244728.11148078504,558278.4180085481,1.3242393619873112e6,602736.4054398698,309415.4893442325,320288.9234723253,0.0,312383.6274595832,322711.8969687558,4.178072436603756e7,2.8524979255355773e6,7.049114198577991e6,3.1879112241923995e7,2.1250586902012476e6,4.964798414903937e6,2.3326653639788795e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,31569.750770841434,623470.2492291585,31569.750770841492,0.9518070779414434,9.318633686029159,9,254064.6236880932,533295.004990741,242305.26823821914,552751.3819669669,1.3111292032469958e6,596769.22897562,306352.2318256464,317118.0174035121,0.0,309290.9849499053,319517.0031164092,4.1367089229937926e7,2.8242577888324438e6,6.979326961636717e6,3.1563504479468763e7,2.10402030578167e6,4.915646201790911e6,2.3095716438496844e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,39337.81187676736,615702.1881232327,39337.811876767315,0.9399481391201553,9.202529163020545,10,250899.13259352496,526650.4727273732,239286.29157928572,545864.4350487891,1.2947933287105942e6,589333.846385111,302535.26885154995,313166.91927168274,0.0,305437.4068945396,315536.0150778311,4.085168039156955e7,2.7890692499893117e6,6.892368781381508e6,3.117024236019873e7,2.0778054890785022e6,4.854400231966633e6,2.2807957821624274e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,49017.124706921575,606022.8752930784,49017.12470692163,0.9251714300907496,9.057858313516164,11,246954.8048973872,518371.1214825526,235524.52669223314,537283.0255108468,1.2744381798728283e6,580069.0642053571,297779.1813049147,308243.69398816366,0.0,300635.6955016094,310575.54578271904,4.0209460497317135e7,2.7452229322461514e6,6.784015433183842e6,3.0680222131887138e7,2.0451407857252355e6,4.77808531973414e6,2.244939914986545e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,61077.84503575247,593962.1549642475,61077.845035752514,0.906759197930119,8.877594002792476,12,242040.0517467112,508054.7961792874,230837.25239480412,526590.3263202747,1.2490750408058465e6,568524.8617667872,291852.9505108544,302109.2044533931,0.0,294652.61599730037,304394.64906846895,3.940923483356346e7,2.6905890770305344e6,6.649003841737672e6,3.006964191479525e7,2.0044395646074866e6,4.682994601053369e6,2.2002624059790047e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,76105.73528393063,578934.2647160693,76105.73528393067,0.883817201383487,8.652981193328412,13,235916.17448801297,495200.4557920578,224996.8181765854,513267.0168071126,1.2174720801322008e6,554140.5627763806,284468.7525914632,294465.51212460606,0.0,287197.583488011,296693.13249859755,3.841213821571729e7,2.6225142392405816e6,6.480776793670336e6,2.9308847182806373e7,1.9537250577415726e6,4.564509730747656e6,2.144593367677675e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,94830.56414360547,560209.4358563945,94830.56414360553,0.855231355204113,8.373112472739688,14,228285.79179735685,479183.8812842649,217719.60697818766,496666.1043464509,1.1780946279216495e6,536217.6519476693,275268.0038487494,284941.4320076451,0.0,277908.574480464,287097.00307861634,3.71697506804481e7,2.5376926397867585e6,6.271165022982096e6,2.836089301767924e7,1.8905345202752664e6,4.416876970440253e6,2.0752294584555242e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,118161.46791347729,536878.5320865227,118161.46791347733,0.819613746552553,8.024399529236394,15,218778.42990811792,459227.42873857316,208652.29237386078,475981.5739822844,1.1290308124330277e6,513885.9280662733,263803.9853983958,273074.54668812687,0.0,266334.584838333,275140.3452240299,3.562175127028114e7,2.4320059822854125e6,6.009991364861694e6,2.717975392313403e7,1.811799896859409e6,4.232928388061999e6,1.988802890645909e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,147230.97187565686,507809.02812434314,147230.97187565686,0.7752354307345041,7.589915190660427,16,206932.58386481123,434362.37498539744,197354.73011837783,450209.36029918527,1.0678989851873158e6,486061.36789253296,249520.2125513535,258288.81557298967,0.0,251913.79166723328,260242.76061664912,3.3692997226667546e7,2.3003240406303187e6,5.684577966202357e6,2.5708095219834868e7,1.7136992630424043e6,4.0037347787176794e6,1.8811183585694649e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,183449.77981164498,471590.220188355,183449.77981164498,0.7199427879970245,7.048574518643748,17,192173.3907516432,403382.05253558944,183278.66476794844,418098.7725613329,991732.501140354,451393.6830862427,231723.5130954086,239866.70709294642,0.0,233946.3733436112,241681.28958821803,3.128988871981831e7,2.136256467972424e6,5.2791329540971e6,2.3874499297748785e7,1.5914719275075602e6,3.718173685972586e6,1.7469500772658763e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,228574.94586162898,426465.054138371,228574.94586162898,0.651053450466067,6.374115884954425,18,173784.84960549138,364783.53771697934,165741.23539172058,378092.05543817213,896836.3564042519,408201.0679063838,209550.529945038,216914.52419333303,0.0,211560.69083368647,218555.4742999223,2.8295845663532328e7,1.9318439850246098e6,4.773987298068806e6,2.159001438043891e7,1.4391883730182762e6,3.362391912306498e6,1.5797892479209222e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,284794.6666180947,370245.3333819053,284794.6666180947,0.5652268561705825,5.533833635227066,19,150875.26857014798,316695.1224341875,143892.02200100067,328249.2146925963,778608.8743819289,354389.03846225026,181926.05716922876,188319.27621267654,0.0,183671.22405018835,189743.90435836298,2.4565681781790935e7,1.6771742803695067e6,4.144645620039403e6,1.8743861881382022e7,1.2494641091849555e6,2.919136990128662e6,1.3715299556053455e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,354833.6977245002,300206.3022754998,354833.6977245002,0.4583033171217526,4.487002490658524,20,122334.30754830592,256786.14443625178,116672.07647775425,266154.55775658664,631320.0195179329,287349.530733941,147511.24183380327,152695.06044169655,0.0,148926.27680912905,153850.19275309553,1.9918610244794212e7,1.3599044838249108e6,3.360606126940544e6,1.5198099634028757e7,1.0131039238716267e6,2.366926042355316e6,1.112078665979167e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,5431.655029042213,649608.3449709578,5431.655029042158,0.9917102241809227,9.709304034404774,1,264715.9185442216,555652.6329871138,252463.56898758674,575924.690655116,1.3660964140909936e6,621787.9227497175,319195.6096388987,330412.73533205915,0.0,322257.565771831,332912.2950792817,4.310134509890442e7,2.9426607448280104e6,7.271925231661838e6,3.2886759122414578e7,2.1922283385838857e6,5.121727616604336e6,2.406397121607645e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,6768.24354852676,648271.7564514732,6768.243548526778,0.989669750854868,9.68932685214559,2,264171.25765679585,554509.3611436691,251944.11767433118,574739.708449181,1.3632856300274595e6,620508.5755776323,318538.85516427393,329732.90128719923,0.0,321594.51123125706,332227.3181157882,4.30126627975154e7,2.936606132693292e6,7.256963028890836e6,3.281909363593127e7,2.1877177634779406e6,5.111189509473666e6,2.401445887851241e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,8433.726894022606,646606.2731059773,8433.726894022664,0.9871271775109169,9.664433877338778,3,263492.5718655246,553084.7639794158,251296.84478636962,573263.1372382789,1.3597831953010214e6,618914.4189788337,317720.4928757896,328885.78023018775,0.0,320768.2986172904,331373.7886202733,4.290215840977711e7,2.929061659935365e6,7.238319071409709e6,3.273477767843204e7,2.1820972695053783e6,5.098058286465744e6,2.3952763021928766e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,10509.033727253247,644530.9662727468,10509.033727253205,0.9839589561960888,9.633415518100469,4,262646.88267622655,551309.6179009086,250490.29823579363,571423.2279218489,1.3554189206654462e6,616927.9901792462,316700.7571612639,327830.2091114829,0.0,319738.78085711383,330310.2321462945,4.276446233998727e7,2.919660727821579e6,7.215087417689675e6,3.262971419447602e7,2.1750937473273063e6,5.081695879173763e6,2.387588573996956e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,13095.004771835185,641944.9952281648,13095.00477183517,0.980011140648149,9.594764568970287,5,261593.09741362208,549097.6672218966,249485.2873176489,569130.5779190836,1.3499807427259302e6,614452.7671059135,315430.0982935414,326514.8969346234,0.0,318455.93290659884,328984.9696829577,4.259288383230464e7,2.9079465379730887e6,7.186139224161953e6,3.2498798070169598e7,2.1663668905210816e6,5.061307225891658e6,2.3780091507546003e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,16317.291272205559,638722.7087277945,16317.291272205533,0.9750919081715399,9.546602996600935,6,260280.01309541444,546341.4341900538,248232.97897450352,566273.7883314885,1.3432044227057085e6,611368.4797117001,313846.7754931502,324875.9332346443,0.0,316857.42172387196,327333.6072850667,4.237908595927053e7,2.893349902836493e6,7.150067910289386e6,3.2335668146144643e7,2.1554926647882457e6,5.0359016505394885e6,2.366072572323126e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,20332.458055623272,634707.5419443768,20332.458055623225,0.9689622425326464,9.48659072097232,7,258643.82942965784,542906.9986376778,246672.5259044812,562714.0531378591,1.3347607119879078e6,607525.2682857962,311873.85808967665,322833.6838547001,0.0,314865.5786636509,325275.90836641524,4.2112680685228854e7,2.8751615994241824e6,7.105120838922913e6,3.2132398246881757e7,2.1419427119976263e6,5.004244744098697e6,2.3511988628561962e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,25335.58718344221,629704.4128165578,25335.5871834422,0.9613243260136133,9.41181196820314,8,256605.05032080086,538627.494079941,244728.11148078504,558278.4180085481,1.3242393619873112e6,602736.4054398698,309415.4893442325,320288.9234723253,0.0,312383.6274595832,322711.8969687558,4.178072436603756e7,2.8524979255355773e6,7.049114198577991e6,3.1879112241923995e7,2.1250586902012476e6,4.964798414903937e6,2.3326653639788795e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,31569.750770841434,623470.2492291585,31569.750770841492,0.9518070779414434,9.318633686029159,9,254064.6236880932,533295.004990741,242305.26823821914,552751.3819669669,1.3111292032469958e6,596769.22897562,306352.2318256464,317118.0174035121,0.0,309290.9849499053,319517.0031164092,4.1367089229937926e7,2.8242577888324438e6,6.979326961636717e6,3.1563504479468763e7,2.10402030578167e6,4.915646201790911e6,2.3095716438496844e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,39337.81187676736,615702.1881232327,39337.811876767315,0.9399481391201553,9.202529163020545,10,250899.13259352496,526650.4727273732,239286.29157928572,545864.4350487891,1.2947933287105942e6,589333.846385111,302535.26885154995,313166.91927168274,0.0,305437.4068945396,315536.0150778311,4.085168039156955e7,2.7890692499893117e6,6.892368781381508e6,3.117024236019873e7,2.0778054890785022e6,4.854400231966633e6,2.2807957821624274e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,49017.124706921575,606022.8752930784,49017.12470692163,0.9251714300907496,9.057858313516164,11,246954.8048973872,518371.1214825526,235524.52669223314,537283.0255108468,1.2744381798728283e6,580069.0642053571,297779.1813049147,308243.69398816366,0.0,300635.6955016094,310575.54578271904,4.0209460497317135e7,2.7452229322461514e6,6.784015433183842e6,3.0680222131887138e7,2.0451407857252355e6,4.77808531973414e6,2.244939914986545e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,61077.84503575247,593962.1549642475,61077.845035752514,0.906759197930119,8.877594002792476,12,242040.0517467112,508054.7961792874,230837.25239480412,526590.3263202747,1.2490750408058465e6,568524.8617667872,291852.9505108544,302109.2044533931,0.0,294652.61599730037,304394.64906846895,3.940923483356346e7,2.6905890770305344e6,6.649003841737672e6,3.006964191479525e7,2.0044395646074866e6,4.682994601053369e6,2.2002624059790047e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,76105.73528393063,578934.2647160693,76105.73528393067,0.883817201383487,8.652981193328412,13,235916.17448801297,495200.4557920578,224996.8181765854,513267.0168071126,1.2174720801322008e6,554140.5627763806,284468.7525914632,294465.51212460606,0.0,287197.583488011,296693.13249859755,3.841213821571729e7,2.6225142392405816e6,6.480776793670336e6,2.9308847182806373e7,1.9537250577415726e6,4.564509730747656e6,2.144593367677675e6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,94830.56414360547,560209.4358563945,94830.56414360553,0.855231355204113,8.373112472739688,14,228285.79179735685,479183.8812842649,217719.60697818766,496666.1043464509,1.1780946279216495e6,536217.6519476693,275268.0038487494,284941.4320076451,0.0,277908.574480464,287097.00307861634,3.71697506804481e7,2.5376926397867585e6,6.271165022982096e6,2.836089301767924e7,1.8905345202752664e6,4.416876970440253e6,2.0752294584555242e6
