firstmonthly_mocperkgCO2,firstlast_mocomp,firstmonthly_coins_allocated,firstmonthly_coins_needed,firstmonthly_lastday_market_delta,firstlast_cardem,firstlast_busdem,firstlast_bikedem,firstlast_flows_car,firstlast_flows_bus,firstlast_flows_bike,firstmonthly_mocos_car,firstmonthly_mocos_bus,firstmonthly_mocos_bike,firstmonthly_emissions_car,firstmonthly_emissions_bus,firstmonthly_total_tt,firstmonthly_total_tt_c,firstmonthly_total_tt_b,firstmonthly_total_tt_r,firstmonthly_total_dist_car,firstmonthly_total_dist_bus,firstmonthly_total_dist_rad,firstlasttotalcardem,firstlasttotalbusdem,firstlasttotalbikedem,firstlasttotaldem,firstcoinsallocated,firstgroupparticipants,lastavailable_firstgroupmocos,lastfirstgroup_crowdfunding,monthlyfirstgroup_crowdfunding,firstgroup_totalcardem,firstgroup_totalbusdem,firstgroup_totalbikedem,firstgroup_totaldem,first_group_first_month_difference_of_demand
11.0,1.0,9.6879e6,7.086313122281795e6,362152.2768002937,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,6.068829098743677e6,1.0174840235381197e6,0.0,6.126744569012404e6,1.0252508895228829e6,4.526315183226166e8,3.350025878969466e7,3.400430184954512e8,0,2.521294061321976e7,5.695838275127129e7,2.5721970878859237e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,6.13567e6,48594.64285896609,256126.90006439504,3.0138335874533416e6,3.0138335874533416e6,3.0138335874533416e6,3.0138335874533416e6,7.804166412546661e6
12.0,1.0,9.6879e6,7.730523406125595e6,369874.9267027657,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,6.620540834993103e6,1.1099825711324944e6,0.0,6.683721348013532e6,1.1184555158431449e6,4.9377983817012715e8,3.654573686148509e7,3.7095602017685586e8,0,2.7505026123512466e7,6.213641754684141e7,2.806033186784644e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,5.81274e6,57632.00102783546,313758.9010922305,3.287818459040009e6,3.287818459040009e6,3.287818459040009e6,3.287818459040009e6,7.530181540959993e6
13.0,1.0,9.6879e6,8.374733689969394e6,378912.2848716351,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,7.172252571242528e6,1.2024811187268689e6,0.0,7.24069812701466e6,1.2116601421634068e6,5.349281580176377e8,3.959121493327551e7,4.018690218582605e8,0,2.979711163380517e7,6.731445234241153e7,3.0398692856833644e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,5.48981e6,68160.70554681274,381919.60663904325,3.5618033306266763e6,3.5618033306266763e6,3.5618033306266763e6,3.5618033306266763e6,7.256196669373326e6
14.0,1.0,9.6879e6,9.018943973813195e6,389440.98939061235,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,7.7239643074919535e6,1.2949796663212434e6,0.0,7.797674906015788e6,1.3048647684836688e6,5.760764778651483e8,4.263669300506594e7,4.3278202353966516e8,0,3.2089197144097876e7,7.249248713798165e7,3.2737053845820848e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,5.16688e6,80364.0263265608,462283.6329656041,3.8357882022133437e6,3.8357882022133437e6,3.8357882022133437e6,3.8357882022133437e6,6.982211797786659e6
15.0,1.0,9.6879e6,9.663154257656995e6,401644.3101703604,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,8.275676043741379e6,1.387478213915618e6,0.0,8.354651685016916e6,1.3980693948039308e6,6.172247977126589e8,4.568217107685637e7,4.636950252210698e8,0,3.438128265439058e7,7.767052193355177e7,3.507541483480805e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,4.84395e6,94424.2604580221,556707.8934236262,4.109773073800011e6,4.109773073800011e6,4.109773073800011e6,4.109773073800011e6,6.708226926199991e6
16.0,1.0,9.6879e6,1.0307364541500796e7,415704.54430182173,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,8.827387779990803e6,1.4799767615099924e6,0.0,8.911628464018043e6,1.4912740211241927e6,6.583731175601695e8,4.8727649148646794e7,4.9460802690247446e8,0,3.667336816468329e7,8.28485567291219e7,3.741377582379525e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,4.52102e6,110510.9404644789,667218.8338881051,4.383757945386679e6,4.383757945386679e6,4.383757945386679e6,4.383757945386679e6,6.434242054613323e6
17.0,1.0,9.6879e6,1.0951574825344596e7,431791.2243082785,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,9.379099516240228e6,1.572475309104367e6,0.0,9.468605243019171e6,1.5844786474444547e6,6.9952143740768e8,5.177312722043722e7,5.255210285838791e8,0,3.8965453674976e7,8.802659152469201e7,3.975213681278245e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,4.19809e6,128763.24474727255,795982.0786353777,4.657742816973346e6,4.657742816973346e6,4.657742816973346e6,4.657742816973346e6,6.160257183026656e6
18.0,1.0,9.6879e6,1.1595785109188396e7,450043.5285910722,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,9.930811252489652e6,1.6649738566987414e6,0.0,1.0025582022020299e7,1.6776832737647167e6,7.406697572551906e8,5.481860529222765e7,5.564340302652838e8,0,4.125753918526871e7,9.320462632026213e7,4.209049780176965e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,3.87516e6,149264.4579016461,945246.5365370237,4.931727688560014e6,4.931727688560014e6,4.931727688560014e6,4.931727688560014e6,5.886272311439988e6
19.0,1.0,9.6879e6,1.2239995393032197e7,470544.7417454457,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,1.0482522988739077e7,1.757472404293116e6,0.0,1.0582558801021427e7,1.7708879000849787e6,7.818180771027012e8,5.7864083364018075e7,5.873470319466885e8,0,4.354962469556142e7,9.838266111583225e7,4.442885879075685e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,3.55223e6,172005.61745319475,1.1172521539902184e6,5.205712560146681e6,5.205712560146681e6,5.205712560146681e6,5.205712560146681e6,5.612287439853321e6
20.0,1.0,9.6879e6,1.2884205676875997e7,493285.90129699436,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,1.1034234724988502e7,1.8499709518874905e6,0.0,1.1139535580022555e7,1.8640925264052406e6,8.229663969502118e8,6.09095614358085e7,6.182600336280932e8,0,4.5841710205854125e7,1.0356069591140237e8,4.676721977974405e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,3.2293e6,196834.55227537884,1.3140867062655971e6,5.479697431733348e6,5.479697431733348e6,5.479697431733348e6,5.479697431733348e6,5.338302568266653e6
