mocperkgCO2,mocomp,coins_allocated,coins_needed,market_delta,crowdfunding,coins_consummed,market_delta_wi_crowd,ratio_of_less_consumption,updated_mocomp,day_num
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,601.8494780438959,654438.1505219562,601.8494780438486,0.9990835400916733,9.781492224234439,1
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,749.9504409335404,654290.0495590664,749.9504409335786,0.9988574450295551,9.779278648488967,2
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,934.4955001212703,654105.5044998787,934.4955001212656,0.9985757133932001,9.776520364822243,3
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,1164.452641945071,653875.5473580549,1164.4526419450995,0.9982246544044485,9.77308333415271,4
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,1450.996633594258,653589.0033664057,1450.9966335942736,0.9977872083519216,9.768800533976739,5
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,1808.0520428915672,653231.9479571084,1808.0520428916207,0.9972421176018711,9.763463842179542,6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,2252.969872861062,652787.030127139,2252.969872861053,0.9965628936289697,9.756813923786492,7
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,2807.3706851844877,652232.6293148155,2807.370685184491,0.9957165298805176,9.748527629305455,8
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,3498.1951732230204,651541.804826777,3498.1951732230373,0.9946618979423565,9.73820229244563,9
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,4359.013220128114,650680.9867798719,4359.013220128138,0.9933477490942325,9.725336164415705,10
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,5431.655029042213,649608.3449709578,5431.655029042158,0.9917102241809227,9.709304034404774,11
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,6768.24354852676,648271.7564514732,6768.243548526778,0.989669750854868,9.68932685214559,12
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,8433.726894022606,646606.2731059773,8433.726894022664,0.9871271775109169,9.664433877338778,13
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,10509.033727253247,644530.9662727468,10509.033727253205,0.9839589561960888,9.633415518100469,14
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,13095.004771835185,641944.9952281648,13095.00477183517,0.980011140648149,9.594764568970287,15
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,16317.291272205559,638722.7087277945,16317.291272205533,0.9750919081715399,9.546602996600935,16
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,20332.458055623272,634707.5419443768,20332.458055623225,0.9689622425326464,9.48659072097232,17
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,25335.58718344221,629704.4128165578,25335.5871834422,0.9613243260136133,9.41181196820314,18
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,31569.750770841434,623470.2492291585,31569.750770841492,0.9518070779414434,9.318633686029159,19
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,39337.81187676736,615702.1881232327,39337.811876767315,0.9399481391201553,9.202529163020545,20
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,49017.124706921575,606022.8752930784,49017.12470692163,0.9251714300907496,9.057858313516164,1
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,61077.84503575247,593962.1549642475,61077.845035752514,0.906759197930119,8.877594002792476,2
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,76105.73528393063,578934.2647160693,76105.73528393067,0.883817201383487,8.652981193328412,3
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,94830.56414360547,560209.4358563945,94830.56414360553,0.855231355204113,8.373112472739688,4
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,118161.46791347729,536878.5320865227,118161.46791347733,0.819613746552553,8.024399529236394,5
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,147230.97187565686,507809.02812434314,147230.97187565686,0.7752354307345041,7.589915190660427,6
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,183449.77981164498,471590.220188355,183449.77981164498,0.7199427879970245,7.048574518643748,7
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,228574.94586162898,426465.054138371,228574.94586162898,0.651053450466067,6.374115884954425,8
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,284794.6666180947,370245.3333819053,284794.6666180947,0.5652268561705825,5.533833635227066,9
1.0,9.790464792700833,655040,655038.4670153875,1.5329846125096083,354833.6977245002,300206.3022754998,354833.6977245002,0.4583033171217526,4.487002490658524,10
