mocperkgCO2,mocomp,coins_allocated,coins_needed,market_delta,cardem,busdem,bikedem,flows_car,flows_bus,flows_bike,mocos_car,mocos_bus,mocos_bike,emissions_car,emissions_bus,total_tt,total_tt_c,total_tt_b,total_tt_r,total_dist_car,total_dist_bus,total_dist_rad
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
1.0,9.79045432748449,655030,655025.194512951,4.805487049045041,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,321805.39006909577,333219.80444385513,0.0,324894.4552169266,335839.7187668107,4.3461144515002765e7,2.968980752109714e6,7.330504608905325e6,3.3161659153987728e7,2.210166362019908e6,5.166764904104782e6,2.4265122600851753e6
10.0,97.90454327484491,6550300,6.550251945129511e6,48.05487049045041,2.6692870730869346e6,5.60297371976745e6,2.5457392071456155e6,5.807442021502088e6,1.3754304231637696e7,6.269854652581e6,3.2180539006909584e6,3.3321980444385516e6,0.0,3.2489445521692657e6,3.358397187668108e6,4.346114451500277e8,2.968980752109714e7,7.330504608905324e7,3.316165915398773e8,2.210166362019908e7,5.1667649041047834e7,2.4265122600851756e7
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
