secondmonthly_mocperkgCO2,secondlast_mocomp,secondmonthly_coins_allocated,secondmonthly_coins_needed,secondmonthly_lastday_market_delta,secondmonthly_market_delta,secondlast_cardem,secondlast_busdem,secondlast_bikedem,secondlast_flows_car,secondlast_flows_bus,secondlast_flows_bike,secondmonthly_mocos_car,secondmonthly_mocos_bus,secondmonthly_mocos_bike,secondmonthly_emissions_car,secondmonthly_emissions_bus,secondmonthly_total_tt,secondmonthly_total_tt_c,secondmonthly_total_tt_b,secondmonthly_total_tt_r,secondmonthly_total_dist_car,secondmonthly_total_dist_bus,secondmonthly_total_dist_rad,secondlasttotalcardem,secondlasttotalbusdem,secondlasttotalbikedem,secondlasttotaldem,secondcoinsallocated,lastavailable_secondgroupmocos,lastsecondgroup_crowdfunding,monthlysecondgroup_crowdfunding,secondgroup_totalcardem,secondgroup_totalbusdem,secondgroup_totalbikedem,secondgroup_totaldem
1.0,9.790464792700833,13100600,1.310076934030775e7,8.467015387490392,-169.34030774980783,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,6.437275765761716e6,6.6634935745460335e6,0.0,6.499026790572646e6,6.713902649420442e6,8.692326457459457e8,5.93451730773155e7,6.632332373012803e8,0,4.421106660253501e7,1.0329080999108373e8,4.853024730273695e7,266928.6976070624,560297.372597969,254573.92979496854,1.0818e6,13100600,0.0,333555.23779111344,1.6569702994583985e6,5.338573952141249e6,5.338573952141249e6,5.338573952141249e6,5.338573952141249e6
1.0,9.790464792700833,26201200,2.6201538680615477e7,8.467015387490392,-338.6806154772639,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,1.2874551531523444e7,1.3326987149092056e7,0.0,1.299805358114528e7,1.3427805298840871e7,1.7384652914918907e9,1.1869034615463091e8,1.3264664746025598e9,0,8.842213320506996e7,2.0658161998216745e8,9.706049460547389e7,266928.6976070624,560297.372597969,254573.92979496854,1.0818e6,13100600,-1.31006e7,333555.23779111344,3.3139405989167974e6,1.0677147904282503e7,1.0677147904282503e7,1.0677147904282503e7,1.0677147904282503e7
1.0,9.790464792700833,39301800,3.930230802092319e7,8.467015387490392,-508.02092318981886,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,1.9311827297285177e7,1.999048072363809e7,0.0,1.9497080371717907e7,2.01417079482613e7,2.607697937237836e9,1.7803551923194653e8,1.989699711903838e9,0,1.3263319980760491e8,3.098724299732509e8,1.455907419082109e8,266928.6976070624,560297.372597969,254573.92979496854,1.0818e6,13100600,-2.62012e7,333555.23779111344,4.970910898375195e6,1.6015721856423758e7,1.6015721856423758e7,1.6015721856423758e7,1.6015721856423758e7
