firstmonthly_mocperkgCO2,firstlast_mocomp,firstmonthly_coins_allocated,firstmonthly_coins_needed,firstmonthly_lastday_market_delta,firstmonthly_market_delta,firstlast_cardem,firstlast_busdem,firstlast_bikedem,firstlast_flows_car,firstlast_flows_bus,firstlast_flows_bike,firstmonthly_mocos_car,firstmonthly_mocos_bus,firstmonthly_mocos_bike,firstmonthly_emissions_car,firstmonthly_emissions_bus,firstmonthly_total_tt,firstmonthly_total_tt_c,firstmonthly_total_tt_b,firstmonthly_total_tt_r,firstmonthly_total_dist_car,firstmonthly_total_dist_bus,firstmonthly_total_dist_rad,firstlasttotalcardem,firstlasttotalbusdem,firstlasttotalbikedem,firstlasttotaldem,firstcoinsallocated,lastavailable_firstgroupmocos,lastfirstgroup_crowdfunding,monthlyfirstgroup_crowdfunding,firstgroup_totalcardem,firstgroup_totalbusdem,firstgroup_totalbikedem,firstgroup_totaldem
1.0,9.79045432748449,6550300,6.550251945129511e6,4.805487049045041,48.05487048905343,266928.7073086935,560297.371976745,254573.92071456154,580744.2021502086,1.3754304231637693e6,626985.4652580998,3.2180539006909584e6,3.3321980444385516e6,0.0,3.2489445521692657e6,3.358397187668108e6,4.346114451500277e8,2.968980752109714e7,3.316165915398773e8,0,2.210166362019908e7,5.1667649041047834e7,2.4265122600851756e7,266928.7073086935,560297.371976745,254573.92071456154,1.0818e6,6.5503e6,0.0,354828.2807469458,1.5980524023460157e6,2.6692870730869346e6,2.6692870730869346e6,2.6692870730869346e6,2.6692870730869346e6
1.0,9.790464792700833,19650900,1.9651021285437256e7,8.467015387490392,-121.2854372560978,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,9.655329666452676e6,9.995691618984582e6,0.0,9.747971342741909e6,1.0072299837088546e7,1.303844090895973e9,8.903498059841262e7,9.948498288411578e8,0,6.631273022273405e7,1.5495845903213155e8,7.27953699035887e7,266928.6976070624,560297.372597969,254573.92979496854,1.0818e6,6.5503e6,0.0,354828.2807469458,3.373232663703321e6,8.007861025228187e6,8.007861025228187e6,8.007861025228187e6,8.007861025228187e6
1.0,9.790464792700833,32751500,3.275179062574497e7,8.467015387490392,-290.6257449686527,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,1.609260543221441e7,1.6659185193530599e7,0.0,1.6246998133314537e7,1.6786202486508973e7,2.173076736641918e9,1.4838015367572808e8,1.6580830661424363e9,0,1.10523796825269e8,2.582492690232153e8,1.2132561720632564e8,266928.6976070624,560297.372597969,254573.92979496854,1.0818e6,6.5503e6,-1.31006e7,354828.2807469458,5.148412925060626e6,1.3346434977369443e7,1.3346434977369443e7,1.3346434977369443e7,1.3346434977369443e7
